_date,_dow,sleepq,sleepd,napq,napd,steps,breakfast,lunch,dinner,coffee,water,spent,productive,school,studying,personal,piano,reading,writing,smash,videos,social,chores,_,_,beers,shots,prami,adra,mela,sleept,napt,sleep,sleep%,fuel
18,4,53,7.19,,,5000,,,,3,2,20,12,10,,2,,,,2,3,9,,,,,,,,?,3.8778333333,0,3.8778333333,1,0
19,5,53,6.26,,,2263,260,583,958,2,3,30,7,2,,4,,,,1,3,10,1,1,1,,,,,?,3.4096666667,0,3.4096666667,0.9357575758,1801
20,6,?,3.2,67,3.27,4927,165,,1060,2,1,17,1,,1,,,1,,1,2,8,,,1,2,,,,?,,2.3115,2.3115,0,1225
21,7,52,5.32,50,2.51,2000,92,850,680,1,5,30,0,,,,,,,2,7,10,,,1,,,,,?,2.8773333333,1.425,4.3023333333,0.8492023152,1622
22,1,?,7.3,79,2.01,250,455,,1015,,3,,7,4,,3,,,,1,6,,,,1,,,,,?,,1.5931666667,1.5931666667,0,1470
23,2,51,7.16,79,0.36,9369,566,480,420,1,,18,4,2,,1,,,,3,,7,1,2,,,,1,,?,3.706,0.474,4.18,1.0687173325,1466
24,3,63,5.49,,,7415,320,245,174,3,,8,17,13,3,1,,1,,,2,,,,1,,,,,?,3.6645,0,3.6645,1.0448903167,739
25,4,43,10.22,63,1.22,6842,1342,160,195,2,1,14,4,,,4,,3,,3,1,,,,1,,,,,?,4.4576666667,0.861,5.3186666667,1.2161142182,1697
26,5,55,5.12,49,3.16,9053,403,617,,2,2,15,6,,3,3,,1,,1,4,1,,,2,,,,,?,2.86,1.6006666667,4.4606666667,0.8055365549,1020
27,6,43,6.34,,,4819,473,582,900,2,2,8,6,4,1,,,,,1,1,8,1,,,,,1,,?,2.8236666667,0,2.8236666667,0.8161869204,1955
28,7,61,7.06,,,7320,473,266,625,5,,6,27,26,,1,,1,,,,,,,2,,,1,1,?,4.331,0,4.331,1.2178019849,1364
1,1,43,7.08,,,5174,157,617,296,2,4,19,12,8,3,1,,,,,1,8,,1,1,,,,,?,3.0673333333,0,3.0673333333,0.8745070088,1070
2,2,?,?,,,6868,966,290,328,3,3,15,7,3,4,,,2,,,1,1,,,1,,,1,,?,,0,0,0,1584
3,3,48,6.1,30,1.28,8512,346,1187,411,6,4,22,10,5,2,,,1,3,,,,,,1,,,,,?,2.96,0.44,3.4,0.8560536348,1944
4,4,56,6.5,,,?,966,245,320,1,,,0,,,,,,,,14,,,,2,1,,,,?,3.8266666667,0,3.8266666667,1.0969462914,1531
5,5,?,?,,,7327,535,280,708,4,,21,23,20,3,,,,,,,1,,,1,,,1,1,?,,0,0,0,1523
6,6,57,8.12,,,6774,480,480,,4,5,55,9,5,4,,,,,,3,14,,,1,,,1,,?,4.674,0,4.674,1.3057081665,960
7,7,63,9.2,,,5984,680,290,1010,3,4,11,11,3,6,2,,,,1,5,5,,,1,1,,1,,?,5.88,0,5.88,1.5705228081,1980
